Title;Description;Price;Producer;Rating;Review_count;Specifications
Kawa ziarnista COFFEE PLANT Sweet Brazil Shot 1kg;Średnio palona brazylijska arabika przeznaczona do ekspresów ciśnieniowych. COFFEE PLANT Sweet Brazil Shot posiada słodki smak z nutami czekolady, orzechów, truskawek i miodu.;114.99;COFFEE PLANT;kwi.88;121;Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Orzechy Truskawki Miód Czekolada | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna | Kawa Specialty: Tak
Kawa ziarnista Story Coffee Roasters Love Shot 1kg;Średnio palona mieszanka brazylijskiej i peruwiańskiej arabiki przeznaczona do ciśnieniowych metod parzenia. Story Love Shot posiada słodki smak z wyczuwalną nutą karmelu, śliwki i czekolady.;114.99;STORY COFFEE ROASTERS;kwi.99;72;Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Czekolada Karmel Śliwka | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia Peru | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Tak
Kawa ziarnista Costa Coffee Caffe Crema INTENSE 1kg;Caffe Crema Intense to intensywna kawa do ekspresów ciśnieniowych od Costa Coffee. Jest to mieszanka robusty i arabiki, która została podwójnie wypalona w ciemnym stopniu dla wyrazistego smaku i aromatu. Charakteryzuje ją mocny i słodko-gorzki smak.;59.99;COSTA COFFEE;5.00;17;Skład: Arabika, Robusta | Stopień palenia: Ciemny | Zawartość kofeiny: Średnia | Rodzaj: Kawa ziarnista | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Kakao Karmelizowany cukier | Intensywność smaku: Mocna | Gorycz: Mocna | Kwasowość: Delikatna | Słodycz: Średnia | Pochodzenie ziaren: Ameryka Azja | Blend czy Single: Blend / Mieszanki | Palarnia: Anglia | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Nie
Kawa ziarnista MRC.& Konesso Kolumbia Excelso 1kg;Pierwszy owoc współpracy palarni MRC. & Konesso, wyjątkowa Kolumbia Excelso, która została poddana obróbce omniroast. Przygotujesz ją w ekspresie ciśnieniowym, kawiarce lub metodą przelewową. Soczysta, słodka, przyjemnie kwasowa i pełna słońca!;130.00;MRC.;kwi.83;18;Sposób przygotowania: Aeropress Chemex Dripper Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy | Crema: Trwała | Wyczuwalne smaki: Jagody Skórka pomarańczy | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Średnia | Słodycz: Mocna | Pochodzenie ziaren: Kolumbia | Blend czy Single: Single / Jednorodne | Polecana do: Espresso Kawa czarna | Przeznaczenie : Do alternatyw Do domu Do ekspresu kolbowego Do ekspresu automatycznego | Opakowanie: 1000g | Rodzaj: Kawa ziarnista | Zawartość kofeiny: Niska | Stopień palenia: Średni | Skład: 100% Arabika | Kawa Specialty: Nie
Kawa ziarnista Kafar Espresso Brasil 1kg;Ciemno palona brazylijska arabika Single Origin przeznaczona do ekspresów. Kafar Espresso Brasil ma intensywny smak z nutami czekolady deserowej, toffi i suszonych owoców.;99.99;KAFAR;5.00;10;Skład: 100% Arabika | Stopień palenia: Ciemny | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Toffi Suszone owoce Czekolada deserowa | Intensywność smaku: Mocna | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia | Blend czy Single: Single / Jednorodne | Polecana do: Espresso Kawa czarna | Kawa Specialty: Nie
Kawa ziarnista Coffee Grange Espresso Grange 1kg;Mieszanka arabiki z Brazylii, Gwatemali i Kolumbii przeznaczona do ekspresów i kawiarek. Espresso Grange ma dobrze zrównoważony smak z wyczuwalną nutą orzechów, czekolady i owoców.;139.00;COFFEE GRANGE;kwi.86;7;Skład: 100% Arabika | Rodzaj: Kawa ziarnista | Opakowanie: 1000g | Stopień palenia: Średni | Blend czy Single: Blend / Mieszanki | Kawa Specialty: Tak | Pochodzenie ziaren: Brazylia Gwatemala Kolumbia | Zawartość kofeiny: Niska | Crema: Trwała | Palarnia: Polska | Intensywność smaku: Średnia | Słodycz: Średnia | Kwasowość: Delikatna | Gorycz: Delikatna | Wyczuwalne smaki: Owoce Orzechy laskowe Ciemna czekolada | Polecana do: Espresso Kawa czarna Cappuccino Latte | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki
Kawa ziarnista Momento Konesso Filtr 250g;Kawa jasno palona do przelewowych metod parzenia, która powstała we współpracy rzeszowskiej palarni Momento i Konesso. Kawa Momento Konesso Filtr to 100% arabika z Etiopii, która została poddana obróbce mytej. Jest to słodka i przyjemnie owocowa kawa.;59.99;MOMENTO COFFEE;kwi.71;14;Sposób przygotowania: Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny | Crema: Delikatna | Wyczuwalne smaki: Jaśmin Brzoskwinie Pomarańcze | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Średnia | Słodycz: Mocna | Pochodzenie ziaren: Etiopia | Blend czy Single: Single / Jednorodne | Polecana do: Kawa czarna | Opakowanie: 250g | Rodzaj: Kawa ziarnista | Zawartość kofeiny: Niska | Stopień palenia: Jasny | Skład: 100% Arabika | Kawa Specialty: Tak
Kawa ziarnista Kawariatka 1kg;Wyjątkowa kawa do espresso Kawariatka to o wiele więcej niż tylko kawa. To zaproszenie do stworzenia własnych rytuałów, które pozwolą Ci się odprężyć, ukoić nerwy i sprawią, że poczujesz się wyjątkowo.;119.99;COFFEE PLANT;kwi.84;25;Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Biała czekolada Orzechy Wanilia | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Tak
Kawa ziarnista Kawariatka 250g;Pragniesz chwili wytchnienia i czasu tylko dla siebie z kubkiem pysznej kawy? Rzuć wszystko, wszelkie obowiązki domowe i pracę, znajdź moment, aby celebrować chwilę z wyjątkową i słodką kawą Kawariatka;32.99;COFFEE PLANT;kwi.92;66;Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki | Opakowanie: 250g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Orzechy Wanilia Biała czekolada | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Tak
Kawa ziarnista HAYB  Konesso Gwatemala Santa Rosa Barrel Aged Espresso 250g;HAYB Gwatemala Santa Rosa Barrel Aged Espresso do ekspresów to prawdziwa gratka dla poszukujących w kawie wyjątkowych i niespotykanych smaków. Kawa starzona w procesie barrel aging, w beczce po alkoholu nabrała ciekawych akcentów smakowych.;37.99;HAYB SPECIALITY COFFEE;kwi.87;15;Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki | Opakowanie: 250g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Czerwone owoce Czekolada Bourbon | Intensywność smaku: Mocna | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Średnia | Pochodzenie ziaren: Gwatemala | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Tak
Kawa ziarnista HAYB Konesso Espresso Blend 1kg;Średnio palona mieszanka arabiki z Brazylii i Etiopii przeznaczona do ekspresów. HAYB Espresso Blend posiada słodki smak z nutami czekolady oraz czerwonych i żółtych owoców.;109.99;HAYB SPECIALITY COFFEE;kwi.83;46;Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego | Opakowanie: 1000g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Czerwone owoce Żółte owoce Czekolada | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia Etiopia | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna
Kawa ziarnista Story Coffee Roasters Love Shot 250g;Średnio palona mieszanka brazylijskiej i peruwiańskiej arabiki przeznaczona do ciśnieniowych metod parzenia. Story Love Shot posiada słodki smak z wyczuwalną nutą karmelu, śliwki i czekolady.;31.99;STORY COFFEE ROASTERS;kwi.89;71;Skład: 100% Arabika | Stopień palenia: Średni | Zawartość kofeiny: Niska | Rodzaj: Kawa ziarnista | Palarnia: Polska | Przeznaczenie : Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego | Opakowanie: 250g | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Crema: Trwała | Wyczuwalne smaki: Karmel Śliwka Czekolada | Intensywność smaku: Średnia | Gorycz: Delikatna | Kwasowość: Delikatna | Słodycz: Mocna | Pochodzenie ziaren: Brazylia Peru | Blend czy Single: Blend / Mieszanki | Polecana do: Espresso Kawa czarna Cappuccino Latte | Kawa Specialty: Tak
Kawa ziarnista Paloma Kenia Baragwi Thimu AB 250g;Jasno palona arabika specialty z Kenii przeznaczona do przelewowych metod parzenia. Paloma Kenia Baragwi Thimu AB to soczyście owocowa kawa, która zachwyca nutami pomarańczy, rodzynek, moreli, jeżyn oraz granoli.;49.99;PALOMA;0.00;Brak opinii;Rodzaj: Kawa ziarnista | Opakowanie: 250g | Skład: 100% Arabika | Blend czy Single: Single / Jednorodne | Kawa Specialty: Tak | Pochodzenie ziaren: Kenia | Stopień palenia: Jasny | Zawartość kofeiny: Niska | Crema: Delikatna | Palarnia: Polska | Intensywność smaku: Średnia | Słodycz: Mocna | Kwasowość: Średnia | Gorycz: Delikatna | Wyczuwalne smaki: Jeżyny Rodzynki Morela Pomarańcze Czarna herbata | Polecana do: Kawa czarna | Przeznaczenie : Do alternatyw Do domu | Sposób przygotowania: Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny
Kawa ziarnista Lavazza Tierra for Cuba BIO 1kg;Średnio palona mieszanka arabiki i robusty z Kuby przeznaczona do ekspresów i kawiarek. Lavazza Tierra for Cuba ma wyważony smak z wyczuwalną nutą czekolady i orzechów.;124.99;LAVAZZA;0.00;Brak opinii;Skład: Arabika, Robusta | Rodzaj: Kawa ziarnista | Opakowanie: 1000g | Stopień palenia: Średni | Blend czy Single: Blend / Mieszanki | Kawa Specialty: Nie | Pochodzenie ziaren: Kuba | Zawartość kofeiny: Średnia | Crema: Trwała | Palarnia: Polska | Intensywność smaku: Mocna | Słodycz: Średnia | Kwasowość: Delikatna | Gorycz: Średnia | Wyczuwalne smaki: Czekolada Orzechy | Polecana do: Espresso Kawa czarna Cappuccino Latte | Sposób przygotowania: Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny | Przeznaczenie : Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki
