"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"Kawa ziarnista Kawariatka 250g","Pragniesz chwili wytchnienia i czasu tylko dla siebie z kubkiem pysznej kawy? Rzuć wszystko, wszelkie obowiązki domowe i pracę, znajdź moment, aby celebrować chwilę z wyjątkową i słodką kawą Kawariatka",32.99,"COFFEE PLANT",4.93,69," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy Wanilia Biała czekolada",0.6,0.2,0.2,1," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.13196,"Premium (0.1 - 0.2)",40.9516556441861
"Kawa ziarnista HAYB Konesso Espresso Blend 1kg","Średnio palona mieszanka arabiki z Brazylii i Etiopii przeznaczona do ekspresów. HAYB Espresso Blend posiada słodki smak z nutami czekolady oraz czerwonych i żółtych owoców.",104.99,"HAYB SPECIALITY COFFEE",4.83,47," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czerwone owoce Żółte owoce Czekolada",0.6,0.2,0.2,1," Brazylia Etiopia"," Blend / Mieszanki"," Espresso Kawa czarna",NA,1000,0.10499,"Premium (0.1 - 0.2)",33.112811719937
"Kawa ziarnista Story Coffee Roasters Love Shot 250g","Średnio palona mieszanka brazylijskiej i peruwiańskiej arabiki przeznaczona do ciśnieniowych metod parzenia. Story Love Shot posiada słodki smak z wyczuwalną nutą karmelu, śliwki i czekolady.",31.99,"STORY COFFEE ROASTERS",4.89,71," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Karmel Śliwka Czekolada",0.6,0.2,0.2,1," Brazylia Peru"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.12796,"Premium (0.1 - 0.2)",41.2038723908324
"Kawa ziarnista Trip Coffee Kosmos 1kg","Średnio palona mieszanka arabiki z Brazylii i Gwatemali przeznaczona do ekspresów i kawiarek. Trip Coffee Kosmos zachwyci delikatną kwasowością. W jej smaku wyczujemy różowego grejpfruta, czekoladę i nugat.",114.99,"TRIP COFFEE",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Różowy grejpfrut Czekolada Nugat",0.6,0.2,1,0.6," Brazylia Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.11499,"Premium (0.1 - 0.2)",0
"Kawa ziarnista Lavazza Tierra for Cuba BIO 1kg","Średnio palona mieszanka arabiki i robusty z Kuby przeznaczona do ekspresów i kawiarek. Lavazza Tierra for Cuba ma wyważony smak z wyczuwalną nutą czekolady i orzechów.",124.99,"LAVAZZA",0,0," Arabika, Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada Orzechy",1,0.6,0.2,0.6," Kuba"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.12499,"Premium (0.1 - 0.2)",0
"Kawa ziarnista Bazzara PIACEREPURO 1kg","Bazzara Piacerepuro to kawa ziarnista dla najbardziej wymagających konsumentów. 100% mieszanka ziaren Arabiki Gourmet pochodzących z Azji i południowej Ameryki. Skład: 100% Arabica Gourmet",149.99,"BAZZARA",4.98,425," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu automatycznego Do ekspresu kolbowego Do biura Do kawiarni"," 1000g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny"," Gęsta"," Orzechy Rodzynki Kakao",0.6,0.6,0.6,0.6," Brazylia Kolumbia Indie"," Blend / Mieszanki"," Espresso Kawa czarna",NA,1000,0.14999,"Premium (0.1 - 0.2)",102.66533007788
"Kawa ziarnista Costa Coffee Caffe Crema VELVET 1kg","Caffe Crema VELVET to wypalona w stopniu średnim mieszanka robusty i arabiki, przeznaczona do ekspresów ciśnieniowych. Kawa od Costa Coffee to jedwabista i aromatyczna kawa, która charakteryzuje się gęstą cremą oraz posmakiem ciemnej czekolady.",64.99,"COSTA COFFEE",4.87,31," Arabika, Robusta"," Średni"," Niska"," Kawa ziarnista"," Anglia"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada",0.6,0.2,0.2,0.6," Ameryka Azja"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.06499,"Mid-range (0.05 - 0.1)",27.1150124469822
"ZESTAW - Kawa ziarnista Trip Coffee Brazylia 1kg + Trip Coffee Peru 1kg","Zestaw dwóch kaw ziarnistych Trip Coffee, które sprawdzą się do przygotowania w ekspresach ciśnieniowych, french pressie lub kawiarce. W zestawie znajduje się kawa ziarnista Trip Coffee Brazylia 1kg oraz Trip Coffee Peru 1kg.",199.98,"TRIP COFFEE",5,4," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 2000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny",NA,NA,NA,NA,NA,NA," Brazylia Peru",NA," Espresso Kawa czarna Cappuccino Latte"," Nie",2000,0.09999,"Mid-range (0.05 - 0.1)",10
"Kawa ziarnista Momento Konesso Blend 1kg","Średnio palona mieszanka arabiki z Brazylii i Etiopii przeznaczona do ekspresów. Momento Konesso Blend ma słodki smak z nutami czekolady deserowej, toffi i jagód.",119.99,"MOMENTO COFFEE",5,20," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada deserowa Toffi Jagody",0.6,0.2,0.2,1," Brazylia Etiopia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.11999,"Premium (0.1 - 0.2)",22.3606797749979
"Kawa ziarnista HAYB Konesso Espresso Blend 250g","Średnio palona mieszanka arabiki z Brazylii i Etiopii przeznaczona do ekspresów. HAYB Espresso Blend posiada słodki smak z nutami czekolady oraz czerwonych i żółtych owoców.",32.99,"HAYB SPECIALITY COFFEE",4.83,23," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czerwone owoce Żółte owoce Czekolada",0.6,0.2,0.2,1," Brazylia Etiopia"," Blend / Mieszanki"," Espresso Kawa czarna",NA,250,0.13196,"Premium (0.1 - 0.2)",23.1638662576004
